"ID番号","PCD-400A"
"タイトル",""
"試験日時","2021/02/26","18:27:46"
"測定CH数",2
"サンプリング周波数(Hz)",50
"集録データ数/CH",45100
"測定時間(sec)",902
"CH名称"
"レンジ","5kμε","2kμε"
"ハイパスフィルタ","***","***"
"ローパスフィルタ","FLAT","FLAT"
"ローパス(デジタル)","***","***"
"校正係数",2.71,0.2983
"オフセット",0,0
"単位","g","g"
"Time(sec)","CH1","CH2"
3.18,3045.46164634146,95.5558941219512
3.20,3048.38315853659,95.0608616341463
3.22,3047.49745121951,94.954201195122
3.24,3052.76707926829,94.972754
3.26,3048.66737804878,95.470260195122
3.28,3051.43356097561,95.4033973414634
3.30,3051.83510365854,95.4767354878049
3.32,3049.38784146341,95.0079679512195
3.34,3049.76625,95.3433735609756
3.36,3047.3817804878,95.2107391951219
3.38,3050.9791402439,95.3531956341463
3.40,3048.93342073171,95.2280551463415
3.42,3050.9312195122,95.0159711219512
3.44,3049.63901219512,95.3032121951219
3.46,3048.10059146341,95.1512247073171
3.48,3047.35203658537,95.4074716829268
3.50,3050.47845121951,95.1635204878049
3.52,3051.77561585366,95.294918
3.54,3052.52747560976,95.3753134878049
3.56,3047.44622560976,95.7641220731707
3.58,3050.69987804878,95.2959365853659
3.60,3051.37572560976,95.1112816097561
3.62,3051.9276402439,95.6645917317073
3.64,3053.47597560976,96.1508207317073
3.66,3052.84474390244,95.9304425121951
3.68,3048.49387195122,96.7615354146341
3.70,3052.4217195122,97.348386097561
3.72,3051.83840853659,97.3145545121951
3.74,3051.24187804878,98.1195279756098
3.76,3048.79957317073,98.5921515853659
3.78,3048.6012804878,98.8372668780488
3.80,3050.33964634146,98.7800078292683
3.82,3048.92846341463,98.3783214146341
3.84,3049.16641463415,97.7665881463415
3.86,3047.20166463415,97.3385640243902
3.88,3050.39252439024,97.2730107804878
3.90,3050.1661402439,97.4836396829268
3.92,3050.7891097561,97.5459916585366
3.94,3044.91468902439,97.2051293414634
3.96,3050.59081707317,96.569823097561
3.98,3050.68170121951,96.1236827073171
4.00,3052.38867073171,96.6545111951219
4.02,3057.21048780488,96.6633146829268
4.04,3053.09921951219,96.2163739756098
4.06,3051.09150609756,96.0104742195122
4.08,3048.29888414634,96.185016097561
4.10,3055.37297560976,95.8278564146341
4.12,3054.33854878049,95.807339195122
4.14,3057.61203048781,95.9852278536585
4.16,3055.22260365854,97.2359051707317
4.18,3056.02073170732,97.4656689268293
4.20,3056.5478597561,97.3683212682927
4.22,3056.5280304878,97.2653713902439
4.24,3057.76901219512,97.208185097561
4.26,3054.81940853659,97.4698160243902
4.28,3056.59908536585,97.2057841463415
4.30,3056.98079878049,97.2105132926829
4.32,3059.80481707317,97.3683940243902
4.34,3058.94059146341,96.8814374634146
4.36,3058.46634146341,95.6572433658537
4.38,3057.38564634146,95.2744007804878
4.40,3063.28815853659,95.4493064390244
4.42,3058.37545731707,95.8580501951219
4.44,3054.13034146341,96.3137216341463
4.46,3058.36719512195,96.3569387560976
4.48,3062.14136585366,96.5563632195122
4.50,3058.40685365854,97.1171672195122
4.52,3057.59881097561,97.905043
4.54,3057.17413414634,97.8670643170732
4.56,3057.50462195122,97.466542
4.58,3060.46248780488,97.6685856829268
4.60,3060.0576402439,98.0985742195122
4.62,3057.76570731707,98.1810068780488
4.64,3058.86788414634,98.1978135365854
4.66,3058.77204268293,97.7235892926829
4.68,3058.7703902439,97.8859081463415
4.70,3057.35755487805,97.891292097561
4.72,3057.94251829268,97.8381073902439
4.74,3059.26281707317,98.335759097561
4.76,3058.12593902439,97.9934416585366
4.78,3060.43935365854,97.4567199268293
4.80,3060.63434146341,97.061508804878
4.82,3057.1377804878,97.3477312926829
4.84,3060.03450609756,97.6649478780488
4.86,3059.48589634146,97.3255406829268
4.88,3057.40712804878,97.9214858780488
4.90,3057.5029695122,97.8181722195122
4.92,3058.10776219512,98.4031312439024
4.94,3058.90423780488,98.2766083902439
4.96,3059.89900609756,98.094790902439
4.98,3061.54483536585,98.1528502682927
5.00,3058.19368902439,98.1676197560976
5.02,3059.86595731707,98.388289
5.04,3061.0805,98.3600596341463
5.06,3062.38592682927,97.2162610243902
5.08,3058.52913414634,96.9044283902439
5.10,3056.37765853659,96.6983831219512
5.12,3061.40437804878,96.7409454390244
5.14,3058.67124390244,96.0838851219512
5.16,3061.25731097561,95.7060627073171
5.18,3061.2292195122,95.2768017317073
5.20,3060.78306097561,94.4801952195122
5.22,3060.5385,94.155412
5.24,3060.53354268293,94.0683957073171
5.26,3060.75001219512,94.9285182926829
5.28,3062.63875,94.8849373902439
5.30,3061.8125304878,93.9536593414634
5.32,3063.44348780488,93.9404904878049
5.34,3061.01440243902,93.8090929756098
5.36,3060.88551219512,94.4361777804878
5.38,3060.83759146341,94.1239086097561
5.40,3061.92820121951,93.7561992926829
5.42,3059.14714634146,93.913789
5.44,3062.09675,93.5561927804878
5.46,3064.2515304878,93.6186902682927
5.48,3064.35563414634,93.7740245365854
5.50,3065.14384756098,93.6640173170732
5.52,3062.87009146341,93.3545856341463
5.54,3060.9582195122,93.0678538536585
5.56,3065.18350609756,93.3910364390244
5.58,3060.70374390244,93.3915457317073
5.60,3061.71503658537,93.974103804878
5.62,3064.48617682927,93.9185181463415
5.64,3062.81060365854,93.2188227560976
5.66,3062.29504268293,93.5434604634146
5.68,3062.47020121951,93.1005213414634
5.70,3062.72798170732,93.2806654390244
5.72,3065.27769512195,92.9840388292683
5.74,3062.3545304878,92.9048074390244
5.76,3062.60735365854,93.0862611463415
5.78,3065.09592682927,93.4990792439024
5.80,3063.42696341463,94.0953882195122
5.82,3063.17248780488,94.1857512926829
5.84,3065.12236585366,94.837864195122
5.86,3062.0901402439,95.3419184390244
5.88,3062.01247560976,95.7906780487805
5.90,3065.35205487805,95.5040917804878
5.92,3065.12071341463,95.2471172439024
5.94,3063.55915853659,95.0811605853659
5.96,3067.98934756098,95.0965121219512
5.98,3064.13916463415,94.5829995853659
6.00,3064.08463414634,94.698972804878
6.02,3065.08105487805,95.6715035609756
6.04,3060.98631097561,95.4140197317073
6.06,3064.67620731707,94.0480967560976
6.08,3061.0738902439,94.1784756829268
6.10,3063.27328658537,94.8439757073171
6.12,3065.67593292683,94.8055604878049
6.14,3063.33277439024,94.5693214390244
6.16,3062.60074390244,94.072542804878
6.18,3059.61313414634,94.4103493658537
6.20,3064.4613902439,95.6459661707317
6.22,3060.85907317073,96.513146097561
6.24,3062.65031707317,96.4317320243902
6.26,3062.04717682927,96.8731432682927
6.28,3059.37848780488,97.1441597317073
6.30,3059.48259146341,96.866959
6.32,3059.73706707317,96.8894406341463
6.34,3055.24408536585,96.5863387317073
6.36,3057.41208536585,96.3377311463415
6.38,3056.37104878049,96.5112544390244
6.40,3055.15981097561,96.1557681463415
6.42,3055.02431097561,96.5675676585366
6.44,3051.74752439024,96.7148987560976
6.46,3056.64535365854,96.445191902439
6.48,3054.94003658537,96.3410779268293
6.50,3055.36306097561,96.0480163658537
6.52,3052.02348170732,95.4860482682927
6.54,3053.84612195122,95.7427317804878
6.56,3050.7279695122,95.741203902439
6.58,3048.45751829268,95.4043431707317
6.60,3052.65636585366,95.1322353658537
6.62,3047.18348780488,95.4925963170732
6.64,3051.86980487805,96.5511247804878
6.66,3049.6985,97.1744990243902
6.68,3048.25261585366,97.0222932682927
6.70,3049.34322560976,96.2674487560976
6.72,3049.5762195122,95.5310842926829
6.74,3047.6726097561,94.000950804878
6.76,3045.79709146341,93.8989467560976
6.78,3048.87723780488,93.895891
6.80,3049.93645121951,93.9962944146342
6.82,3049.37462195122,93.8235714390244
6.84,3051.46165243902,93.1009578780488
6.86,3051.5888902439,92.2500753170732
6.88,3047.8015,92.1600760243902
6.90,3050.50819512195,91.7960045121951
6.92,3050.23719512195,91.5314633414634
6.94,3050.05542682927,91.3583765853658
6.96,3052.28787195122,90.6231762195122
6.98,3053.05460365854,89.2664932682927
7.00,3049.10692682927,89.6747277317073
7.02,3050.26363414634,89.158887
7.04,3055.09867073171,89.0986449512195
7.06,3053.7635,88.7825924634146
7.08,3049.5563902439,88.7514528536585
7.10,3050.74779878049,88.7035065853659
7.12,3052.37545121951,88.3595157560976
7.14,3051.41373170732,88.3432183902439
7.16,3047.78001829268,87.9039898292683
7.18,3046.81664634146,86.8523731951219
7.20,3047.18348780488,86.6387612926829
7.22,3048.73843292683,86.9470288780488
7.24,3050.7081402439,86.7657934390244
7.26,3048.34515243902,86.9952661707317
7.28,3049.3663597561,86.6116960243902
7.30,3049.12840853659,86.8418235609756
7.32,3052.23499390244,87.4254002195122
7.34,3051.7855304878,88.5382047317073
7.36,3056.22067682927,88.9644827073171
7.38,3051.91607317073,89.0535361707317
7.40,3053.44788414634,90.0742314634146
7.42,3054.00310365854,90.4778095365854
7.44,3047.85933536585,90.3010849756098
7.46,3056.60073780488,89.7444280731707
7.48,3056.34295731707,89.4470011463415
7.50,3052.73237804878,89.9423974146341
7.52,3052.09784146341,90.1117008536585
7.54,3053.28925,90.346121
7.56,3055.49195121951,90.4011246097561
7.58,3050.98244512195,90.017991
7.60,3055.54813414634,90.7994642439024
7.62,3055.36801829268,91.1540047073171
7.64,3060.42282926829,91.5174214146341
7.66,3057.30963414634,91.7595537073171
7.68,3052.64645121951,91.8265620731707
7.70,3057.10473170732,92.0612004878049
7.72,3054.00310365854,91.3288376097561
7.74,3054.8342804878,90.6247768536585
7.76,3055.04744512195,90.7451154390244
7.78,3056.44706097561,91.1655001707317
7.80,3058.40685365854,90.9081618536585
7.82,3056.07030487805,91.2773262926829
7.84,3054.86732926829,90.6933858536585
7.86,3056.55942682927,91.3241084634146
7.88,3051.54923170732,91.8609757073171
7.90,3058.71420731707,91.7427470487805
7.92,3054.59632926829,90.9716051707317
7.94,3057.61533536585,91.4938484390244
7.96,3057.5641097561,91.4394268780488
7.98,3055.38784756098,91.3600499756098
8.00,3056.37931097561,92.1641503658537
8.02,3052.73733536585,92.5613986585366
8.04,3055.4506402439,92.6641302682927
8.06,3057.44182926829,92.6238233902439
8.08,3058.24987195122,92.3979157073171
8.10,3056.19258536585,92.0198022682927
8.12,3052.3275304878,91.4010844146341
8.14,3055.49029878049,91.7116801951219
8.16,3055.23417073171,93.0555580731707
8.18,3057.97226219512,93.7740245365854
8.20,3056.88330487805,93.7406294878049
8.22,3057.13612804878,94.6521906341463
8.24,3051.83675609756,94.660193804878
8.26,3054.25096951219,94.6182135365854
8.28,3055.49360365854,94.1001173658536
8.30,3056.34130487805,94.2585073902439
8.32,3054.49718292683,94.6275990731707
8.34,3055.31018292683,95.2599950731707
8.36,3054.56493292683,95.7126107560976
8.38,3055.34818902439,95.305685902439
8.40,3056.2768597561,95.5969285609756
8.42,3055.60927439024,96.6111485609756
8.44,3056.21737195122,97.7884877317073
8.46,3058.31596951219,98.8747362682927
8.48,3052.51425609756,99.1136672926829
8.50,3056.70318902439,98.4734136341463
8.52,3052.4630304878,98.0277825365854
8.54,3055.79269512195,97.8707021219512
8.56,3056.23554878049,98.252235097561
8.58,3054.95656097561,98.3383055609756
8.60,3053.94361585366,99.2809335609756
8.62,3053.46275609756,99.9523995853659
8.64,3055.18459756098,100.154661536585
8.66,3054.44595731707,100.128905878049
8.68,3054.67729878049,100.00565704878
8.70,3059.84612804878,100.110498585366
8.72,3059.17854268293,99.9533454146341
8.74,3057.08655487805,99.5619176097561
8.76,3058.68115853659,100.764575902439
8.78,3057.44678658537,101.415088170732
8.80,3055.05570731707,101.919942731707
8.82,3055.72329268293,102.660818073171
8.84,3054.43934756098,102.77002497561
